Rolling Hills #3,hls1,hls2,hgs1,hgs2,,Cerritos #36,hls1,hls2,hgs1,hgs2,,La Habra Height #11,hls1,hls2,hgs1,hgs2,,Bel Air #1,hls1,hls2,hgs1,hgs2,,Beverlywood #33,hls1,hls2,hgs1,hgs2,,Santa Clarita #50,hgs1,hgs2,hls1,hls2,,
,3240,3590,3730,3850,,,818,1270,712,1380,,,1800,3100,2930,3140,,,4240,4370,3180,4140,,,845.45,1230,1410,1460,,,942.83,2450,2760,2940,,
,2630,2640,2560,2670,,,1500,1680,735,1270,,,2150,2240,2100,2380,,,4510,4900,3600,4510,,,1330,1800,604.91,1050,,,2060,2210,3020,4210,,
,1710,2220,1960,2310,,,646,996,800,1710,,,2040,2760,2550,3250,,,5320,5730,4660,5170,,,926.99,1030,1120,1410,,,2950,3340,2200,3170,,
,787,1870,2030,3070,,,893,1200,738,934,,,912,980,638,1500,,,4330,6720,4100,4400,,,574.28,1050,1070,1080,,,693.48,1070,1060,1220,,
,1710,1800,1930,2220,,,595,623,384,650,,,1740,1770,1730,1930,,,3290,7280,3020,3150,,,411.2,1120,883.82,1220,,,327.67,858.2,367.39,1300,,
,959,2050,2220,3010,,,549,1000,1050,1130,,,2170,2640,2470,3120,,,2660,3850,2290,2760,,,1320,1810,512.76,1020,,,1090,1430,1490,1550,,
,,,,,,,,,,,,,,,,,,,3850,6480,4040,4060,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5570,5580,5010,5310,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3880,6230,4090,4150,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3280,4520,3180,3200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3930,5380,3830,3930,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3360,4610,2920,3440,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2750,7410,2780,2900,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3300,4230,2720,3360,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3690,5180,3550,3770,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3870,6810,2980,4060,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3170,3920,2490,3080,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4700,5080,3530,3760,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3530,3720,2380,2500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5110,6090,4440,4490,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4670,4730,3660,3870,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4840,6290,4550,4590,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5500,5630,4450,4710,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5200,5460,3910,4060,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3180,7300,3100,7580,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5270,5710,4960,5080,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3120,6690,2800,2830,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2910,7580,2860,3150,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5330,5780,5220,5450,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3760,3930,2810,3700,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2470,2560,1460,2530,,,,,,,,,,,,,,
